DeviceSerialNumber,SensorType,Unit,Status,Date,Value
CA21101008-02,Temperature,oC,Good,2021-12-01T0:00,25
CA21101008-02,Humidity,%,Good,2021-12-01T0:00,74
CA21101008-02,pH,pH,Good,2021-12-01T0:00,6
CA21101009-03,TVOC,ppm,Good,2021-12-01T0:00,53
CA21101010-04,TVOC,ppm,Good,2021-12-01T0:00,33
CA21101009-03,Light,Lux,Good,2021-12-01T0:00,540
CA21101010-04,Light,Lux,Good,2021-12-01T0:00,453
CA21101010-04,pH,pH,Good,2021-12-01T0:00,6
CA21101009-03,pH,pH,Good,2021-12-01T0:00,7
CA21101010-04,Velocity,m/s,Good,2021-12-01T0:00,0
CA21101010-04,Humidity,%,Good,2021-12-01T0:00,73
CA21101010-04,Temperature,oC,Good,2021-12-01T0:00,25
CA21101011-05,Temperature,oC,Good,2021-12-01T0:00,25
CA21101012-06,pH,pH,Good,2021-12-01T0:00,6
CA21101011-05,pH,pH,Good,2021-12-01T0:00,8
CA21101011-05,Velocity,m/s,Good,2021-12-01T0:00,0
CA21101011-05,Light,Lux,Good,2021-12-01T0:00,404
CA21101011-05,Humidity,%,Good,2021-12-01T0:00,69
CA21101012-06,Humidity,%,Good,2021-12-01T0:00,69
CA21101012-06,Velocity,m/s,Good,2021-12-01T0:00,1
CA21101012-06,Light,Lux,Good,2021-12-01T0:00,437
CA21101012-06,Temperature,oC,Good,2021-12-01T0:00,26
CA21101012-06,TVOC,ppm,Good,2021-12-01T0:00,33
CA21101011-05,TVOC,ppm,Good,2021-12-01T0:00,41
FH21101005,TVOC,ppm,Good,2021-12-01T0:05,52
FH21101006,Velocity,m/s,Good,2021-12-01T0:05,0
FH21101005,pH,pH,Good,2021-12-01T0:05,6
FH21101005,Velocity,m/s,Good,2021-12-01T0:05,1
FH21101006,Temperature,oC,Good,2021-12-01T0:05,25
FH21101006,Humidity,%,Good,2021-12-01T0:05,75
FH21101005,Humidity,%,Good,2021-12-01T0:05,71
FH21101005,Temperature,oC,Good,2021-12-01T0:05,25
FH21101006,TVOC,ppm,Good,2021-12-01T0:05,53
FH21101005,Light,Lux,Good,2021-12-01T0:05,596
FH21101007,pH,pH,Good,2021-12-01T0:05,5
FH21101008,Humidity,%,Good,2021-12-01T0:05,71
FH21101007,Humidity,%,Good,2021-12-01T0:05,73
FH21101008,Temperature,oC,Good,2021-12-01T0:05,26
FH21101006,pH,pH,Good,2021-12-01T0:05,8
FH21101006,Light,Lux,Good,2021-12-01T0:05,527
FH21101007,TVOC,ppm,Good,2021-12-01T0:05,25
FH21101007,Velocity,m/s,Good,2021-12-01T0:05,0
FH21101007,Light,Lux,Good,2021-12-01T0:05,313
FH21101007,Temperature,oC,Good,2021-12-01T0:05,25
FH21101008,pH,pH,Good,2021-12-01T0:05,6
CA21101007-01,Temperature,oC,Good,2021-12-01T0:05,26
FH21101008,TVOC,ppm,Good,2021-12-01T0:05,57
CA21101007-01,TVOC,ppm,Good,2021-12-01T0:05,46
CA21101007-01,Humidity,%,Good,2021-12-01T0:05,68
CA21101007-01,pH,pH,Good,2021-12-01T0:05,7
CA21101007-01,Light,Lux,Good,2021-12-01T0:05,498
CA21101007-01,Velocity,m/s,Good,2021-12-01T0:05,0
FH21101008,Velocity,m/s,Good,2021-12-01T0:05,1
FH21101008,Light,Lux,Good,2021-12-01T0:05,307
CA21101008-02,TVOC,ppm,Good,2021-12-01T0:05,52
CA21101008-02,Temperature,oC,Good,2021-12-01T0:05,26
CA21101008-02,Velocity,m/s,Good,2021-12-01T0:05,0
CA21101009-03,TVOC,ppm,Good,2021-12-01T0:05,47
CA21101009-03,Humidity,%,Good,2021-12-01T0:05,71
CA21101008-02,Humidity,%,Good,2021-12-01T0:05,69
CA21101008-02,pH,pH,Good,2021-12-01T0:05,7
CA21101009-03,Temperature,oC,Good,2021-12-01T0:05,25
CA21101008-02,Light,Lux,Good,2021-12-01T0:05,337
CA21101009-03,Velocity,m/s,Good,2021-12-01T0:05,1
CA21101010-04,Velocity,m/s,Good,2021-12-01T0:05,1
CA21101010-04,pH,pH,Good,2021-12-01T0:05,6
CA21101010-04,Temperature,oC,Good,2021-12-01T0:05,27
CA21101009-03,Light,Lux,Good,2021-12-01T0:05,410
CA21101009-03,pH,pH,Good,2021-12-01T0:05,6
CA21101010-04,Light,Lux,Good,2021-12-01T0:05,486
CA21101010-04,Humidity,%,Good,2021-12-01T0:05,70
CA21101011-05,Humidity,%,Good,2021-12-01T0:05,72
CA21101010-04,TVOC,ppm,Good,2021-12-01T0:05,53
CA21101011-05,Temperature,oC,Good,2021-12-01T0:05,25
CA21101011-05,Light,Lux,Good,2021-12-01T0:05,546
CA21101012-06,pH,pH,Good,2021-12-01T0:05,6
CA21101011-05,TVOC,ppm,Good,2021-12-01T0:05,41
CA21101011-05,pH,pH,Good,2021-12-01T0:05,5
CA21101012-06,Light,Lux,Good,2021-12-01T0:05,502
CA21101011-05,Velocity,m/s,Good,2021-12-01T0:05,1
CA21101012-06,Temperature,oC,Good,2021-12-01T0:05,26
CA21101012-06,Velocity,m/s,Good,2021-12-01T0:05,0
CA21101012-06,TVOC,ppm,Good,2021-12-01T0:05,46
CA21101012-06,Humidity,%,Good,2021-12-01T0:05,71
FH21101006,Humidity,%,Good,2021-12-01T0:10,73
FH21101006,TVOC,ppm,Good,2021-12-01T0:10,52
FH21101005,Velocity,m/s,Good,2021-12-01T0:10,1
FH21101006,Temperature,oC,Good,2021-12-01T0:10,26
FH21101005,TVOC,ppm,Good,2021-12-01T0:10,57
FH21101006,Velocity,m/s,Good,2021-12-01T0:10,1
FH21101005,Light,Lux,Good,2021-12-01T0:10,551
FH21101005,Temperature,oC,Good,2021-12-01T0:10,26
FH21101005,pH,pH,Good,2021-12-01T0:10,8
FH21101005,Humidity,%,Good,2021-12-01T0:10,68
FH21101007,TVOC,ppm,Good,2021-12-01T0:10,36
FH21101008,Humidity,%,Good,2021-12-01T0:10,72
FH21101007,Humidity,%,Good,2021-12-01T0:10,69
FH21101007,pH,pH,Good,2021-12-01T0:10,5
FH21101007,Velocity,m/s,Good,2021-12-01T0:10,0
FH21101007,Temperature,oC,Good,2021-12-01T0:10,27
FH21101006,pH,pH,Good,2021-12-01T0:10,7
FH21101008,Temperature,oC,Good,2021-12-01T0:10,25
FH21101006,Light,Lux,Good,2021-12-01T0:10,354
FH21101007,Light,Lux,Good,2021-12-01T0:10,501
CA21101007-01,Humidity,%,Good,2021-12-01T0:10,73
FH21101008,pH,pH,Good,2021-12-01T0:10,8
CA21101007-01,Light,Lux,Good,2021-12-01T0:10,493
CA21101007-01,Velocity,m/s,Good,2021-12-01T0:10,0
FH21101008,Velocity,m/s,Good,2021-12-01T0:10,0
FH21101008,TVOC,ppm,Good,2021-12-01T0:10,47
CA21101007-01,TVOC,ppm,Good,2021-12-01T0:10,51
CA21101007-01,Temperature,oC,Good,2021-12-01T0:10,26
CA21101007-01,pH,pH,Good,2021-12-01T0:10,6
FH21101008,Light,Lux,Good,2021-12-01T0:10,391
CA21101008-02,Humidity,%,Good,2021-12-01T0:10,73
CA21101008-02,Light,Lux,Good,2021-12-01T0:10,573
CA21101008-02,pH,pH,Good,2021-12-01T0:10,7
CA21101009-03,Humidity,%,Good,2021-12-01T0:10,73
CA21101009-03,TVOC,ppm,Good,2021-12-01T0:10,42
CA21101008-02,Velocity,m/s,Good,2021-12-01T0:10,1
CA21101008-02,Temperature,oC,Good,2021-12-01T0:10,26
CA21101009-03,Temperature,oC,Good,2021-12-01T0:10,25
CA21101008-02,TVOC,ppm,Good,2021-12-01T0:10,52
CA21101009-03,Velocity,m/s,Good,2021-12-01T0:10,0
CA21101010-04,pH,pH,Good,2021-12-01T0:10,5
CA21101009-03,Light,Lux,Good,2021-12-01T0:10,553
CA21101010-04,Velocity,m/s,Good,2021-12-01T0:10,1
CA21101010-04,Temperature,oC,Good,2021-12-01T0:10,26
CA21101009-03,pH,pH,Good,2021-12-01T0:10,5
CA21101010-04,Light,Lux,Good,2021-12-01T0:10,411
CA21101011-05,Humidity,%,Good,2021-12-01T0:10,74
CA21101010-04,TVOC,ppm,Good,2021-12-01T0:10,40
CA21101010-04,Humidity,%,Good,2021-12-01T0:10,73
CA21101011-05,Temperature,oC,Good,2021-12-01T0:10,27
CA21101012-06,Temperature,oC,Good,2021-12-01T0:10,27
CA21101011-05,pH,pH,Good,2021-12-01T0:10,6
CA21101012-06,Humidity,%,Good,2021-12-01T0:10,70
CA21101011-05,Light,Lux,Good,2021-12-01T0:10,577
CA21101011-05,TVOC,ppm,Good,2021-12-01T0:10,35
CA21101011-05,Velocity,m/s,Good,2021-12-01T0:10,1
CA21101012-06,Light,Lux,Good,2021-12-01T0:10,585
CA21101012-06,Velocity,m/s,Good,2021-12-01T0:10,0
CA21101012-06,TVOC,ppm,Good,2021-12-01T0:10,56
CA21101012-06,pH,pH,Good,2021-12-01T0:10,6
FH21101006,Humidity,%,Good,2021-12-01T0:15,74
FH21101005,pH,pH,Good,2021-12-01T0:15,8
FH21101006,Temperature,oC,Good,2021-12-01T0:15,26
FH21101005,Velocity,m/s,Good,2021-12-01T0:15,1
FH21101005,Temperature,oC,Good,2021-12-01T0:15,27
FH21101005,TVOC,ppm,Good,2021-12-01T0:15,41
FH21101006,Velocity,m/s,Good,2021-12-01T0:15,1
FH21101005,Light,Lux,Good,2021-12-01T0:15,591
FH21101006,TVOC,ppm,Good,2021-12-01T0:15,50
FH21101005,Humidity,%,Good,2021-12-01T0:15,70
FH21101007,Velocity,m/s,Good,2021-12-01T0:15,1
FH21101007,TVOC,ppm,Good,2021-12-01T0:15,47
FH21101007,Humidity,%,Good,2021-12-01T0:15,72
FH21101006,pH,pH,Good,2021-12-01T0:15,8
FH21101008,Humidity,%,Good,2021-12-01T0:15,69
FH21101008,Temperature,oC,Good,2021-12-01T0:15,25
FH21101007,Light,Lux,Good,2021-12-01T0:15,334
FH21101007,pH,pH,Good,2021-12-01T0:15,7
FH21101006,Light,Lux,Good,2021-12-01T0:15,453
FH21101007,Temperature,oC,Good,2021-12-01T0:15,26
CA21101007-01,Temperature,oC,Good,2021-12-01T0:15,27
FH21101008,TVOC,ppm,Good,2021-12-01T0:15,49
CA21101007-01,Light,Lux,Good,2021-12-01T0:15,306
FH21101008,Velocity,m/s,Good,2021-12-01T0:15,1
FH21101008,Light,Lux,Good,2021-12-01T0:15,409
CA21101007-01,Humidity,%,Good,2021-12-01T0:15,72
FH21101008,pH,pH,Good,2021-12-01T0:15,6
CA21101007-01,TVOC,ppm,Good,2021-12-01T0:15,26
CA21101007-01,Velocity,m/s,Good,2021-12-01T0:15,1
CA21101007-01,pH,pH,Good,2021-12-01T0:15,7
CA21101008-02,Humidity,%,Good,2021-12-01T0:15,73
CA21101009-03,TVOC,ppm,Good,2021-12-01T0:15,55
CA21101008-02,pH,pH,Good,2021-12-01T0:15,8
CA21101008-02,Temperature,oC,Good,2021-12-01T0:15,26
CA21101009-03,Humidity,%,Good,2021-12-01T0:15,73
CA21101008-02,Light,Lux,Good,2021-12-01T0:15,555
CA21101009-03,Temperature,oC,Good,2021-12-01T0:15,26
CA21101008-02,Velocity,m/s,Good,2021-12-01T0:15,0
CA21101008-02,TVOC,ppm,Good,2021-12-01T0:15,46
CA21101009-03,Velocity,m/s,Good,2021-12-01T0:15,0
CA21101010-04,Temperature,oC,Good,2021-12-01T0:15,25
CA21101009-03,pH,pH,Good,2021-12-01T0:15,7
CA21101010-04,Velocity,m/s,Good,2021-12-01T0:15,1
CA21101011-05,Temperature,oC,Good,2021-12-01T0:15,26
CA21101010-04,TVOC,ppm,Good,2021-12-01T0:15,46
CA21101010-04,Light,Lux,Good,2021-12-01T0:15,490
CA21101010-04,pH,pH,Good,2021-12-01T0:15,6
CA21101010-04,Humidity,%,Good,2021-12-01T0:15,72
CA21101009-03,Light,Lux,Good,2021-12-01T0:15,571
CA21101011-05,Humidity,%,Good,2021-12-01T0:15,70
CA21101012-06,TVOC,ppm,Good,2021-12-01T0:15,34
CA21101012-06,Light,Lux,Good,2021-12-01T0:15,368
CA21101012-06,Humidity,%,Good,2021-12-01T0:15,74
CA21101011-05,Light,Lux,Good,2021-12-01T0:15,470
CA21101012-06,Velocity,m/s,Good,2021-12-01T0:15,1
CA21101011-05,TVOC,ppm,Good,2021-12-01T0:15,39
CA21101012-06,Temperature,oC,Good,2021-12-01T0:15,26
CA21101011-05,pH,pH,Good,2021-12-01T0:15,5
CA21101012-06,pH,pH,Good,2021-12-01T0:15,6
CA21101011-05,Velocity,m/s,Good,2021-12-01T0:15,0
FH21101006,Humidity,%,Good,2021-12-01T0:20,69
FH21101005,Velocity,m/s,Good,2021-12-01T0:20,1
FH21101005,Temperature,oC,Good,2021-12-01T0:20,27
FH21101005,TVOC,ppm,Good,2021-12-01T0:20,53
FH21101006,Velocity,m/s,Good,2021-12-01T0:20,1
FH21101006,Temperature,oC,Good,2021-12-01T0:20,26
FH21101006,TVOC,ppm,Good,2021-12-01T0:20,31
FH21101005,pH,pH,Good,2021-12-01T0:20,5
FH21101005,Light,Lux,Good,2021-12-01T0:20,501
FH21101005,Humidity,%,Good,2021-12-01T0:20,70
FH21101006,pH,pH,Good,2021-12-01T0:20,6
FH21101007,TVOC,ppm,Good,2021-12-01T0:20,58
FH21101008,Humidity,%,Good,2021-12-01T0:20,68
FH21101007,Humidity,%,Good,2021-12-01T0:20,71
FH21101007,Light,Lux,Good,2021-12-01T0:20,316
FH21101007,Temperature,oC,Good,2021-12-01T0:20,27
FH21101007,Velocity,m/s,Good,2021-12-01T0:20,1
FH21101008,Temperature,oC,Good,2021-12-01T0:20,25
FH21101007,pH,pH,Good,2021-12-01T0:20,7
FH21101006,Light,Lux,Good,2021-12-01T0:20,488
FH21101008,TVOC,ppm,Good,2021-12-01T0:20,55
CA21101007-01,Velocity,m/s,Good,2021-12-01T0:20,1
FH21101008,Light,Lux,Good,2021-12-01T0:20,361
FH21101008,Velocity,m/s,Good,2021-12-01T0:20,0
CA21101007-01,Temperature,oC,Good,2021-12-01T0:20,26
CA21101007-01,Humidity,%,Good,2021-12-01T0:20,73
CA21101007-01,Light,Lux,Good,2021-12-01T0:20,376
CA21101007-01,TVOC,ppm,Good,2021-12-01T0:20,33
CA21101007-01,pH,pH,Good,2021-12-01T0:20,8
FH21101008,pH,pH,Good,2021-12-01T0:20,7
CA21101009-03,Velocity,m/s,Good,2021-12-01T0:20,0
CA21101008-02,TVOC,ppm,Good,2021-12-01T0:20,31
CA21101009-03,TVOC,ppm,Good,2021-12-01T0:20,55
CA21101008-02,Humidity,%,Good,2021-12-01T0:20,68
CA21101008-02,Velocity,m/s,Good,2021-12-01T0:20,1
CA21101009-03,Temperature,oC,Good,2021-12-01T0:20,27
CA21101008-02,Light,Lux,Good,2021-12-01T0:20,329
CA21101008-02,pH,pH,Good,2021-12-01T0:20,7
CA21101008-02,Temperature,oC,Good,2021-12-01T0:20,27
CA21101009-03,Humidity,%,Good,2021-12-01T0:20,70
CA21101010-04,TVOC,ppm,Good,2021-12-01T0:20,31
CA21101009-03,pH,pH,Good,2021-12-01T0:20,6
CA21101010-04,Humidity,%,Good,2021-12-01T0:20,72
CA21101009-03,Light,Lux,Good,2021-12-01T0:20,596
CA21101011-05,Temperature,oC,Good,2021-12-01T0:20,26
CA21101010-04,pH,pH,Good,2021-12-01T0:20,7
CA21101011-05,Humidity,%,Good,2021-12-01T0:20,72
CA21101010-04,Light,Lux,Good,2021-12-01T0:20,445
CA21101010-04,Velocity,m/s,Good,2021-12-01T0:20,1
CA21101010-04,Temperature,oC,Good,2021-12-01T0:20,26
CA21101011-05,Light,Lux,Good,2021-12-01T0:20,423
CA21101012-06,pH,pH,Good,2021-12-01T0:20,6
CA21101012-06,Humidity,%,Good,2021-12-01T0:20,70
CA21101012-06,Velocity,m/s,Good,2021-12-01T0:20,0
CA21101012-06,TVOC,ppm,Good,2021-12-01T0:20,39
CA21101011-05,Velocity,m/s,Good,2021-12-01T0:20,1
CA21101011-05,TVOC,ppm,Good,2021-12-01T0:20,49
CA21101011-05,pH,pH,Good,2021-12-01T0:20,5
CA21101012-06,Light,Lux,Good,2021-12-01T0:20,445
CA21101012-06,Temperature,oC,Good,2021-12-01T0:20,25
FH21101005,Humidity,%,Good,2021-12-01T0:25,72
FH21101005,Velocity,m/s,Good,2021-12-01T0:25,0
FH21101006,Temperature,oC,Good,2021-12-01T0:25,26
FH21101005,Light,Lux,Good,2021-12-01T0:25,566
FH21101006,Humidity,%,Good,2021-12-01T0:25,70
FH21101005,Temperature,oC,Good,2021-12-01T0:25,25
FH21101005,TVOC,ppm,Good,2021-12-01T0:25,42
FH21101005,pH,pH,Good,2021-12-01T0:25,6
FH21101006,TVOC,ppm,Good,2021-12-01T0:25,39
FH21101006,Velocity,m/s,Good,2021-12-01T0:25,1
FH21101006,Light,Lux,Good,2021-12-01T0:25,432
FH21101006,pH,pH,Good,2021-12-01T0:25,7
FH21101007,Light,Lux,Good,2021-12-01T0:25,584
FH21101007,Humidity,%,Good,2021-12-01T0:25,72
FH21101008,Temperature,oC,Good,2021-12-01T0:25,27
FH21101007,TVOC,ppm,Good,2021-12-01T0:25,48
FH21101007,Velocity,m/s,Good,2021-12-01T0:25,0
FH21101008,Humidity,%,Good,2021-12-01T0:25,74
FH21101007,Temperature,oC,Good,2021-12-01T0:25,26
FH21101007,pH,pH,Good,2021-12-01T0:25,8
FH21101008,Light,Lux,Good,2021-12-01T0:25,539
FH21101008,Velocity,m/s,Good,2021-12-01T0:25,0
FH21101008,pH,pH,Good,2021-12-01T0:25,8
FH21101008,TVOC,ppm,Good,2021-12-01T0:25,26
CA21101007-01,Velocity,m/s,Good,2021-12-01T0:25,1
CA21101007-01,pH,pH,Good,2021-12-01T0:25,7
CA21101007-01,Light,Lux,Good,2021-12-01T0:25,539
CA21101007-01,Humidity,%,Good,2021-12-01T0:25,72
CA21101007-01,Temperature,oC,Good,2021-12-01T0:25,25
CA21101007-01,TVOC,ppm,Good,2021-12-01T0:25,44
CA21101008-02,Light,Lux,Good,2021-12-01T0:25,588
CA21101009-03,Temperature,oC,Good,2021-12-01T0:25,26
CA21101008-02,pH,pH,Good,2021-12-01T0:25,5
CA21101008-02,TVOC,ppm,Good,2021-12-01T0:25,53
CA21101008-02,Velocity,m/s,Good,2021-12-01T0:25,1
CA21101009-03,TVOC,ppm,Good,2021-12-01T0:25,49
CA21101009-03,Humidity,%,Good,2021-12-01T0:25,69
CA21101008-02,Humidity,%,Good,2021-12-01T0:25,69
CA21101009-03,Velocity,m/s,Good,2021-12-01T0:25,1
CA21101008-02,Temperature,oC,Good,2021-12-01T0:25,25
CA21101010-04,Light,Lux,Good,2021-12-01T0:25,324
CA21101010-04,TVOC,ppm,Good,2021-12-01T0:25,47
CA21101010-04,Velocity,m/s,Good,2021-12-01T0:25,1
CA21101011-05,Humidity,%,Good,2021-12-01T0:25,72
CA21101010-04,pH,pH,Good,2021-12-01T0:25,7
CA21101010-04,Temperature,oC,Good,2021-12-01T0:25,27
CA21101009-03,pH,pH,Good,2021-12-01T0:25,5
CA21101010-04,Humidity,%,Good,2021-12-01T0:25,73
CA21101011-05,Temperature,oC,Good,2021-12-01T0:25,26
CA21101009-03,Light,Lux,Good,2021-12-01T0:25,341
CA21101011-05,Light,Lux,Good,2021-12-01T0:25,581
CA21101012-06,Humidity,%,Good,2021-12-01T0:25,75
CA21101012-06,TVOC,ppm,Good,2021-12-01T0:25,31
CA21101011-05,pH,pH,Good,2021-12-01T0:25,7
CA21101011-05,TVOC,ppm,Good,2021-12-01T0:25,42
CA21101012-06,Temperature,oC,Good,2021-12-01T0:25,25
CA21101012-06,Velocity,m/s,Good,2021-12-01T0:25,0
CA21101011-05,Velocity,m/s,Good,2021-12-01T0:25,1
CA21101012-06,pH,pH,Good,2021-12-01T0:25,6
CA21101012-06,Light,Lux,Good,2021-12-01T0:25,441
FH21101006,Temperature,oC,Good,2021-12-01T0:30,26
FH21101005,Temperature,oC,Good,2021-12-01T0:30,25
FH21101005,Light,Lux,Good,2021-12-01T0:30,350
FH21101005,TVOC,ppm,Good,2021-12-01T0:30,56
FH21101005,Velocity,m/s,Good,2021-12-01T0:30,1
FH21101006,Velocity,m/s,Good,2021-12-01T0:30,0
FH21101005,Humidity,%,Good,2021-12-01T0:30,71
FH21101006,Humidity,%,Good,2021-12-01T0:30,74
FH21101005,pH,pH,Good,2021-12-01T0:30,6
FH21101006,TVOC,ppm,Good,2021-12-01T0:30,53
FH21101007,Light,Lux,Good,2021-12-01T0:30,404
FH21101006,Light,Lux,Good,2021-12-01T0:30,419
FH21101007,Velocity,m/s,Good,2021-12-01T0:30,1
FH21101007,Humidity,%,Good,2021-12-01T0:30,73
FH21101007,Temperature,oC,Good,2021-12-01T0:30,27
FH21101007,pH,pH,Good,2021-12-01T0:30,6
FH21101006,pH,pH,Good,2021-12-01T0:30,5
FH21101008,Temperature,oC,Good,2021-12-01T0:30,27
FH21101008,Humidity,%,Good,2021-12-01T0:30,74
FH21101007,TVOC,ppm,Good,2021-12-01T0:30,32
FH21101008,Light,Lux,Good,2021-12-01T0:30,413
CA21101007-01,pH,pH,Good,2021-12-01T0:30,7
CA21101007-01,TVOC,ppm,Good,2021-12-01T0:30,26
FH21101008,TVOC,ppm,Good,2021-12-01T0:30,36
CA21101007-01,Humidity,%,Good,2021-12-01T0:30,71
CA21101007-01,Temperature,oC,Good,2021-12-01T0:30,26
CA21101007-01,Light,Lux,Good,2021-12-01T0:30,362
CA21101007-01,Velocity,m/s,Good,2021-12-01T0:30,1
FH21101008,pH,pH,Good,2021-12-01T0:30,7
FH21101008,Velocity,m/s,Good,2021-12-01T0:30,0
CA21101009-03,Velocity,m/s,Good,2021-12-01T0:30,1
CA21101009-03,TVOC,ppm,Good,2021-12-01T0:30,37
CA21101008-02,pH,pH,Good,2021-12-01T0:30,5
CA21101008-02,Light,Lux,Good,2021-12-01T0:30,511
CA21101009-03,Humidity,%,Good,2021-12-01T0:30,71
CA21101008-02,TVOC,ppm,Good,2021-12-01T0:30,44
CA21101009-03,Temperature,oC,Good,2021-12-01T0:30,27
CA21101008-02,Velocity,m/s,Good,2021-12-01T0:30,1
CA21101008-02,Temperature,oC,Good,2021-12-01T0:30,27
CA21101008-02,Humidity,%,Good,2021-12-01T0:30,75
CA21101010-04,Humidity,%,Good,2021-12-01T0:30,73
CA21101010-04,TVOC,ppm,Good,2021-12-01T0:30,58
CA21101010-04,Temperature,oC,Good,2021-12-01T0:30,25
CA21101011-05,Temperature,oC,Good,2021-12-01T0:30,26
CA21101010-04,Light,Lux,Good,2021-12-01T0:30,351
CA21101009-03,pH,pH,Good,2021-12-01T0:30,8
CA21101010-04,pH,pH,Good,2021-12-01T0:30,7
CA21101010-04,Velocity,m/s,Good,2021-12-01T0:30,1
CA21101011-05,Humidity,%,Good,2021-12-01T0:30,75
CA21101009-03,Light,Lux,Good,2021-12-01T0:30,494
CA21101011-05,TVOC,ppm,Good,2021-12-01T0:30,50
CA21101012-06,TVOC,ppm,Good,2021-12-01T0:30,40
CA21101012-06,Humidity,%,Good,2021-12-01T0:30,72
CA21101012-06,Light,Lux,Good,2021-12-01T0:30,370
CA21101011-05,pH,pH,Good,2021-12-01T0:30,6
CA21101011-05,Light,Lux,Good,2021-12-01T0:30,386
CA21101012-06,pH,pH,Good,2021-12-01T0:30,7
CA21101011-05,Velocity,m/s,Good,2021-12-01T0:30,0
CA21101012-06,Temperature,oC,Good,2021-12-01T0:30,27
CA21101012-06,Velocity,m/s,Good,2021-12-01T0:30,1
FH21101005,Light,Lux,Good,2021-12-01T0:35,464
FH21101005,Velocity,m/s,Good,2021-12-01T0:35,0
FH21101005,Humidity,%,Good,2021-12-01T0:35,71
FH21101006,Velocity,m/s,Good,2021-12-01T0:35,0
FH21101006,Temperature,oC,Good,2021-12-01T0:35,27
FH21101006,TVOC,ppm,Good,2021-12-01T0:35,32
FH21101006,Humidity,%,Good,2021-12-01T0:35,68
FH21101005,TVOC,ppm,Good,2021-12-01T0:35,51
FH21101005,Temperature,oC,Good,2021-12-01T0:35,26
FH21101005,pH,pH,Good,2021-12-01T0:35,6
FH21101006,pH,pH,Good,2021-12-01T0:35,7
FH21101006,Light,Lux,Good,2021-12-01T0:35,535
FH21101007,Temperature,oC,Good,2021-12-01T0:35,25
FH21101007,Humidity,%,Good,2021-12-01T0:35,72
FH21101007,pH,pH,Good,2021-12-01T0:35,6
FH21101007,Velocity,m/s,Good,2021-12-01T0:35,1
FH21101008,Temperature,oC,Good,2021-12-01T0:35,25
FH21101007,Light,Lux,Good,2021-12-01T0:35,394
FH21101007,TVOC,ppm,Good,2021-12-01T0:35,33
FH21101008,Humidity,%,Good,2021-12-01T0:35,71
FH21101008,TVOC,ppm,Good,2021-12-01T0:35,44
FH21101008,Light,Lux,Good,2021-12-01T0:35,556
FH21101008,pH,pH,Good,2021-12-01T0:35,6
CA21101007-01,TVOC,ppm,Good,2021-12-01T0:35,26
CA21101007-01,Light,Lux,Good,2021-12-01T0:35,408
CA21101007-01,Temperature,oC,Good,2021-12-01T0:35,26
CA21101007-01,Velocity,m/s,Good,2021-12-01T0:35,1
FH21101008,Velocity,m/s,Good,2021-12-01T0:35,0
CA21101007-01,pH,pH,Good,2021-12-01T0:35,5
CA21101007-01,Humidity,%,Good,2021-12-01T0:35,68
CA21101008-02,Humidity,%,Good,2021-12-01T0:35,73
CA21101008-02,TVOC,ppm,Good,2021-12-01T0:35,57
